# 计算机科学与技术23-1班 班级档案 (绝密)

## 基本信息
- **班级编号**: CS2301
- **辅导员**: 张伟 (电话: 138-xxxx-1234)
- **班级人数**: 48人 (男30人, 女18人)
- **班级口号**: 代码敲得好，头发掉得早

## 班委名单
- **班长**: 刘建国 (20230101) - 负责全面工作，联系方式: 139xxxx5678
- **团支书**: 王芳 (20230102) - 负责团建与思想工作
- **学习委员**: 陈思雨 (20230103) - 负责收发作业，考勤
- **生活委员**: 李雷 (20230104) - 负责班费管理 (当前余额: 3520.5元)

## 荣誉榜 (2024年度)
- **国家奖学金**: 陈思雨
- **校一等奖学金**: 刘建国, 赵子龙, 孙悟空
- **ACM程序设计竞赛金牌**: 赵子龙 (20230105)
- **校园十佳歌手**: 韩梅梅 (20230106)

## 学生详细名册

| 学号 | 姓名 | 性别 | 籍贯 | 宿舍号 | 备注 |
| :--- | :--- | :--- | :--- | :--- | :--- |
| 20230101 | 刘建国 | 男 | 山东济南 | 3号楼-301 | 党员，擅长组织活动 |
| 20230102 | 王芳 | 女 | 江苏南京 | 5号楼-202 | 预备党员，擅长写作 |
| 20230103 | 陈思雨 | 女 | 浙江杭州 | 5号楼-202 | 绩点4.2，专业第一 |
| 20230104 | 李雷 | 男 | 安徽合肥 | 3号楼-301 | 篮球校队主力 |
| 20230105 | 赵子龙 | 男 | 河北石家庄 | 3号楼-302 | 算法大神，LeetCode 2500分 |
| 20230106 | 韩梅梅 | 女 | 四川成都 | 5号楼-203 | 英语课代表，雅思7.5 |
| 20230107 | 孙悟空 | 男 | 江苏连云港 | 3号楼-302 | 体育委员，百米11秒 |
| 20230108 | 猪八戒 | 男 | 河南郑州 | 3号楼-303 | 美食社社长 |
| 20230109 | 沙悟净 | 男 | 甘肃兰州 | 3号楼-303 | 踏实肯干，劳动委员 |
| 20230110 | 唐三藏 | 男 | 陕西西安 | 3号楼-304 | 心理委员，善于倾听 |
| 20230111 | 贾宝玉 | 男 | 北京 | 3号楼-304 | 文艺骨干 |
| 20230112 | 林黛玉 | 女 | 江苏苏州 | 5号楼-203 | 文学社社长 |
| 20230113 | 薛宝钗 | 女 | 江苏南京 | 5号楼-204 | 组织能力强 |
| 20230114 | 王熙凤 | 女 | 四川重庆 | 5号楼-204 | 辩论队队长 |
| 20230115 | 史湘云 | 女 | 湖南长沙 | 5号楼-205 | 性格开朗 |
| 20230116 | 妙玉 | 女 | 江苏苏州 | 5号楼-205 | 喜欢茶道 |
| 20230117 | 迎春 | 女 | 北京 | 5号楼-206 | 性格内向 |
| 20230118 | 探春 | 女 | 北京 | 5号楼-206 | 书法特长 |
| 20230119 | 惜春 | 女 | 北京 | 5号楼-207 | 绘画特长 |
| 20230120 | 李纨 | 女 | 江苏南京 | 5号楼-207 | 勤奋好学 |
| 20230121 | 秦可卿 | 女 | 北京 | 5号楼-208 | 形象气质佳 |
| 20230122 | 晴雯 | 女 | 江苏扬州 | 5号楼-208 | 手工达人 |
| 20230123 | 袭人 | 女 | 安徽芜湖 | 5号楼-209 | 细心周到 |
| 20230124 | 鸳鸯 | 女 | 北京 | 5号楼-209 | 乐于助人 |
| 20230125 | 紫鹃 | 女 | 江苏苏州 | 5号楼-210 | 善解人意 |
| 20230126 | 莺儿 | 女 | 江苏南京 | 5号楼-210 | 心灵手巧 |
| 20230127 | 司棋 | 女 | 北京 | 5号楼-211 | 性格直爽 |
| 20230128 | 待书 | 女 | 北京 | 5号楼-211 | 喜欢阅读 |
| 20230129 | 入画 | 女 | 北京 | 5号楼-212 | 喜欢画画 |
| 20230130 | 茗烟 | 男 | 北京 | 3号楼-305 | 消息灵通 |
| 20230131 | 扫红 | 男 | 北京 | 3号楼-305 | 勤工俭学 |
| 20230132 | 锄药 | 男 | 北京 | 3号楼-306 | 喜欢中医 |
| 20230133 | 墨雨 | 男 | 北京 | 3号楼-306 | 喜欢书法 |
| 20230134 | 伴鹤 | 男 | 北京 | 3号楼-307 | 喜欢养鸟 |
| 20230135 | 引泉 | 男 | 北京 | 3号楼-307 | 喜欢茶艺 |
| 20230136 | 挑云 | 男 | 北京 | 3号楼-308 | 喜欢下棋 |
| 20230137 | 伴琴 | 男 | 北京 | 3号楼-308 | 喜欢古琴 |
| 20230138 | 抱琴 | 女 | 北京 | 5号楼-212 | 喜欢音乐 |
| 20230139 | 司书 | 女 | 北京 | 5号楼-213 | 喜欢整理 |
| 20230140 | 侍画 | 女 | 北京 | 5号楼-213 | 喜欢设计 |
| 20230141 | 翠墨 | 女 | 北京 | 5号楼-214 | 喜欢写作 |
| 20230142 | 玻璃 | 女 | 北京 | 5号楼-214 | 性格透明 |
| 20230143 | 翡翠 | 女 | 北京 | 5号楼-215 | 气质高雅 |
| 20230144 | 玛瑙 | 女 | 北京 | 5号楼-215 | 热情大方 |
| 20230145 | 黄金 | 男 | 北京 | 3号楼-309 | 喜欢理财 |
| 20230146 | 白银 | 男 | 北京 | 3号楼-309 | 喜欢经济 |
| 20230147 | 珍珠 | 女 | 北京 | 5号楼-216 | 温润如玉 |
| 20230148 | 琥珀 | 女 | 北京 | 5号楼-216 | 活泼可爱 |

## 近期班级大事件
1. **2024-10-01**: 组织去大蜀山进行秋游，刘建国同学不慎扭伤脚，李雷背其下山。
2. **2024-11-11**: 举办“光棍节”联谊晚会，与外语系23-2班联谊。
3. **2024-12-01**: 班级辩论赛，题目“AI是否会取代程序员”，反方（王熙凤带队）获胜。
