# 计算机科学与技术23-2班 班级档案 (绝密)

## 基本信息
- **班级编号**: CS2302
- **辅导员**: 李娜 (电话: 139-xxxx-5678)
- **班级人数**: 49人 (男35人, 女14人)
- **班级口号**: 只有想不到，没有做不到

## 班委名单
- **班长**: 宋江 (20230201) - 威望高，善于协调
- **团支书**: 吴用 (20230202) - 足智多谋，策划能力强
- **体育委员**: 林冲 (20230205) - 身体素质极佳
- **文艺委员**: 李师师 (20230210) - 多才多艺

## 荣誉榜 (2024年度)
- **省程序设计大赛一等奖**: 吴用, 公孙胜
- **校篮球赛冠军**: 23-2班篮球队 (队长: 林冲)
- **优秀团支部**: 23-2班团支部

## 学生详细名册

| 学号 | 姓名 | 性别 | 籍贯 | 宿舍号 | 备注 |
| :--- | :--- | :--- | :--- | :--- | :--- |
| 20230201 | 宋江 | 男 | 山东郓城 | 4号楼-401 | 喜欢交朋友，人缘好 |
| 20230202 | 吴用 | 男 | 山东郓城 | 4号楼-401 | 智商140，喜欢下棋 |
| 20230203 | 卢俊义 | 男 | 河北大名 | 4号楼-402 | 富二代，为人豪爽 |
| 20230204 | 关胜 | 男 | 山西运城 | 4号楼-402 | 喜欢读春秋，长胡子 |
| 20230205 | 林冲 | 男 | 河南开封 | 4号楼-403 | 擅长长跑，性格隐忍 |
| 20230206 | 秦明 | 男 | 山东青州 | 4号楼-403 | 性格急躁，嗓门大 |
| 20230207 | 呼延灼 | 男 | 山西太原 | 4号楼-404 | 喜欢军事，收藏模型 |
| 20230208 | 花荣 | 男 | 山东青州 | 4号楼-404 | 射箭俱乐部会长，帅气 |
| 20230209 | 柴进 | 男 | 河北沧州 | 4号楼-405 | 喜欢资助贫困生 |
| 20230210 | 李师师 | 女 | 河南开封 | 6号楼-601 | 擅长古筝，校花 |
| 20230211 | 鲁智深 | 男 | 甘肃平凉 | 4号楼-405 | 力气大，喜欢吃肉 |
| 20230212 | 武松 | 男 | 山东阳谷 | 4号楼-406 | 散打冠军，喜欢喝酒 |
| 20230213 | 董平 | 男 | 山西河东 | 4号楼-406 | 喜欢双枪，风流倜傥 |
| 20230214 | 张清 | 男 | 河南彰德 | 4号楼-407 | 擅长扔飞镖 |
| 20230215 | 杨志 | 男 | 山西太原 | 4号楼-407 | 脸上有胎记，性格沉闷 |
| 20230216 | 徐宁 | 男 | 河南开封 | 4号楼-408 | 喜欢钩镰枪，有传家宝 |
| 20230217 | 索超 | 男 | 河北大名 | 4号楼-408 | 急先锋，做事雷厉风行 |
| 20230218 | 戴宗 | 男 | 湖北江州 | 4号楼-409 | 跑得快，马拉松冠军 |
| 20230219 | 刘唐 | 男 | 山西东潞 | 4号楼-409 | 红头发，性格怪异 |
| 20230220 | 李逵 | 男 | 山东沂水 | 4号楼-410 | 脾气暴躁，由于打架被记过 |
| 20230221 | 史进 | 男 | 陕西华阴 | 4号楼-410 | 身上有纹身，喜欢棍棒 |
| 20230222 | 穆弘 | 男 | 湖北江州 | 4号楼-411 | 喜欢管闲事 |
| 20230223 | 雷横 | 男 | 山东郓城 | 4号楼-411 | 跳高冠军 |
| 20230224 | 李俊 | 男 | 湖北江州 | 4号楼-412 | 游泳冠军，混江龙 |
| 20230225 | 阮小二 | 男 | 山东石碣 | 4号楼-412 | 喜欢捕鱼 |
| 20230226 | 张横 | 男 | 湖北江州 | 4号楼-413 | 船火儿，喜欢划船 |
| 20230227 | 阮小五 | 男 | 山东石碣 | 4号楼-413 | 短命二郎，喜欢赌博 |
| 20230228 | 张顺 | 男 | 湖北江州 | 4号楼-414 | 浪里白条，潜水冠军 |
| 20230229 | 阮小七 | 男 | 山东石碣 | 4号楼-414 | 活阎罗，性格叛逆 |
