# 计算机科学与技术23-3班 班级档案 (绝密)

## 基本信息
- **班级编号**: CS2303
- **最喜爱的老师**:人工智能原理老师刘雪南
- **辅导员**: 诸葛亮 (电话: 136-xxxx-9999)
- **班级人数**: 50人 (男25人, 女25人)
- **班级口号**: 鞠躬尽瘁，死而后已
## 班委名单
- **班长**: 刘备 (20230301) - 仁义，爱哭
- **团支书**: 关羽 (20230302) - 讲义气，脸红
- **组织委员**: 张飞 (20230303) - 嗓门大，粗中有细
- **宣传委员**: 赵云 (20230304) - 帅气，全能

## 荣誉榜 (2024年度)
- **最佳辩手**: 诸葛亮 (辅导员兼职)
- **校园十大杰出青年**: 赵云
- **文明宿舍**: 7号楼-701 (刘备, 关羽, 张飞, 赵云)

## 学生详细名册

| 学号 | 姓名 | 性别 | 籍贯 | 宿舍号 | 备注 |
| :--- | :--- | :--- | :--- | :--- | :--- |
| 20230301 | 刘备 | 男 | 河北涿州 | 7号楼-701 | 喜欢编草鞋，皇叔 |
| 20230302 | 关羽 | 男 | 山西运城 | 7号楼-701 | 喜欢读春秋，美髯公 |
| 20230303 | 张飞 | 男 | 河北涿州 | 7号楼-701 | 喜欢杀猪，豹头环眼 |
| 20230304 | 赵云 | 男 | 河北正定 | 7号楼-701 | 常胜将军，一身是胆 |
| 20230305 | 马超 | 男 | 陕西兴平 | 7号楼-702 | 锦马超，世代公侯 |
| 20230306 | 黄忠 | 男 | 河南南阳 | 7号楼-702 | 老当益壮，百步穿杨 |
| 20230307 | 魏延 | 男 | 河南义阳 | 7号楼-703 | 脑后有反骨，性格孤傲 |
| 20230308 | 姜维 | 男 | 甘肃天水 | 7号楼-703 | 文武双全，胆大如斗 |
| 20230309 | 庞统 | 男 | 湖北襄阳 | 7号楼-704 | 凤雏，长得丑但聪明 |
| 20230310 | 法正 | 男 | 陕西眉县 | 7号楼-704 | 睚眦必报，谋略过人 |
| 20230311 | 曹操 | 男 | 安徽亳州 | 7号楼-705 | 乱世奸雄，喜欢写诗 |
| 20230312 | 孙权 | 男 | 浙江富阳 | 7号楼-705 | 碧眼紫髯，制衡大师 |
| 20230313 | 周瑜 | 男 | 安徽舒城 | 7号楼-706 | 美周郎，精通音律 |
| 20230314 | 鲁肃 | 男 | 安徽定远 | 7号楼-706 | 老实人，富二代 |
| 20230315 | 吕蒙 | 男 | 安徽阜南 | 7号楼-707 | 士别三日，刮目相看 |
| 20230316 | 陆逊 | 男 | 江苏苏州 | 7号楼-707 | 书生拜将，火烧连营 |
