# 计算机科学与技术23-1班 班级信息

## 学校信息
学校名称: 合肥工业大学宣城校区
班级名称: 计算机科学与技术23-1班

## 班级特色
- 班长: 王天翔（学号：2023217101）
- 学习委员: 李明宇（学号：2023217115）
- 数学最好的学生: 张思远（学号：2023217108）
- 最受欢迎的老师: 数据结构课程的陈建国老师

## 班级花名册（共48人）

### 男生（40人）
1. 王天翔（2023217101）- 共青团员【班长】
2. 赵宇航（2023217102）- 共青团员
3. 李健（2023217103）- 群众
4. 刘浩然（2023217104）- 共青团员
5. 陈俊杰（2023217105）- 共青团员
6. 张伟强（2023217106）- 群众
7. 杨锐（2023217107）- 共青团员
8. 张思远（2023217108）- 共青团员【数学最强】
9. 周文博（2023217109）- 共青团员
10. 吴晨曦（2023217110）- 群众
11. 郑昊（2023217111）- 共青团员
12. 冯宇轩（2023217112）- 共青团员
13. 许志强（2023217113）- 群众
14. 胡磊（2023217114）- 共青团员
15. 李明宇（2023217115）- 共青团员【学习委员】
16. 何峰（2023217116）- 共青团员
17. 马骏（2023217117）- 群众
18. 高翔（2023217118）- 共青团员
19. 徐阳（2023217119）- 共青团员
20. 孙鹏飞（2023217120）- 共青团员
21. 罗宇（2023217121）- 群众
22. 邹涛（2023217122）- 共青团员
23. 谢文杰（2023217123）- 共青团员
24. 曹磊（2023217124）- 群众
25. 韩旭（2023217125）- 共青团员
26. 蒋浩（2023217126）- 共青团员
27. 秦志伟（2023217127）- 群众
28. 姚斌（2023217128）- 共青团员
29. 夏明（2023217129）- 共青团员
30. 薛鹏（2023217130）- 共青团员
31. 丁勇（2023217131）- 群众
32. 梁超（2023217132）- 共青团员
33. 潘杰（2023217133）- 共青团员
34. 史强（2023217134）- 群众
35. 覃宇（2023217135）- 共青团员
36. 龙腾（2023217136）- 共青团员
37. 万里（2023217137）- 共青团员
38. 文浩（2023217138）- 群众
39. 方正（2023217139）- 共青团员
40. 汤伟（2023217140）- 共青团员

### 女生（8人）
1. 王雪（2023217141）- 共青团员
2. 李娜（2023217142）- 共青团员
3. 张欣怡（2023217143）- 群众
4. 刘婷婷（2023217144）- 共青团员
5. 陈静（2023217145）- 共青团员
6. 赵敏（2023217146）- 共青团员
7. 周慧（2023217147）- 群众
8. 吴倩（2023217148）- 共青团员

## 统计信息
- 班级总人数: 48人
- 男生人数: 40人
- 女生人数: 8人
- 共青团员: 38人
- 群众: 10人

## 重要提示
本班级信息为合肥工业大学宣城校区计算机科学与技术专业2023级1班的数据。
